page,baseline_best,1040_Main_Pg1,1040_Main_Pg2,1040_Schedule_1_PG_1,1040_Schedule_1_PG_2,1040_Schedule_A_NET_LOSS_STMT,1040_Schedule_C,1040_Schedule_D_PG_1,1040_Schedule_D_PG_2,1040_Schedule_D_STMT,1040_Schedule_E_PG_1,1040_Schedule_E_PG_2,1040_Schedule_E_STMT_PG_1,1040_Schedule_E_STMT_PG_2,1040_Schedule_F,4562,4797_PG_1,4797_PG_2,4835,4952,6251_PFT_LOSS,8949_PG_1,8949_PG_2,8960_NET_LOSS_COMPUTATION,ALT_MIN_REPORT,ALT_Tax_Loss_WORKSHEET,CAL_FARM_RENTAL_INCOME_EXPENSES,CAL_PASS_ACT_LOSS_LIMIT_SLIDE_1,CAL_PASS_ACT_LOSS_LIMIT_SLIDE_3,CAL_RENTAL_ROYALTY_INC_STMT,CAL_RES_INC_TAX_PG_1,CAL_RES_INC_TAX_PG_2,CAL_RES_INC_TAX_PG_3,CAL_RES_INC_TAX_PG_4,CAL_RES_INC_TAX_PG_5,CAL_RES_INC_TAX_PG_6,CAL_SCHED_3526,CAL_SCHED_3801_PG_1,CAL_SCHED_3801_PG_2,CAL_SCHED_3801_PG_3,CAL_SCHED_3801_PG_4,CAL_SCHED_3805V_PG_1,CAL_SCHED_3805V_PG_2,CAL_SCHED_3805V_PG_3,CAL_SCHED_CA_PG_1,CAL_SCHED_CA_PG_2,CAL_SCHED_CA_PG_3,CAL_SCHED_CA_PG_4,CAL_SCHED_CA_PG_5,CAL_SCHED_CA_PG_6,CAL_SCHED_D1_PG_1,CAL_SCHED_D1_PG_2,CAL_SCHED_D_PG_1,CAL_SCHED_D_PG_2,Form_6251_PG_1,Form_6251_PG_2,Form_8582_Pg_1,Form_8582_Pg_2,Form_8582_Pg_3,NOL_DEDUCTUION,NOL_DEDUCTUION_STMT,Other,STATEMENT
1,Other,0.11797975978526115,0.2076751439428445,0.07489363938029378,0.07262769831793368,0.047873002156805934,0.0837559031215712,0.09101535225574936,0.0945473717792584,0.04865228100202608,0.0796301942411703,0.08970631341278096,0.052440332750222925,0.0738271508335209,0.0727943466626034,0.09768050677154293,0.07469899450187992,0.06320575806094646,0.07469891505251415,0.07525652074896702,0.05947435427581549,0.09049359176494866,0.08663199780906736,0.05117322142340655,0.08014804662361508,0.09001892363406969,0.07485862917798324,0.06933562537837401,0.057953794915095544,0.07513855672935937,0.12269906030434949,0.10177919868647363,0.08377881393064768,0.089297709073206,0.07440496086797921,0.14171295551432336,0.06284834390798974,0.06537378890369999,0.05043688496931079,0.05331361153773982,0.06031767206594782,0.06314712850258418,0.04887281555766816,0.04024346654889708,0.06536538944225201,0.05801869887711245,0.05715203382601496,0.05616668994736644,0.041224483247621506,0.044019966502456695,0.06613989344405126,0.04728128773267434,0.03672281595184513,0.037443411523233425,0.08045487089271461,0.08094582659622783,0.08423789447787389,0.07044078587963533,0.06253007072429573,0.04691339526974629,0.04865228100202608,0.22405029261330767,0.0841964585911866
2,Other,0.2714014990034178,0.3324623344206513,0.3247731282096086,0.2721356612082818,0.18664656288788525,0.27984798824506124,0.2751864415459071,0.23045863270352396,0.040323691836761856,0.2620368239416553,0.3042469651575376,0.1521558286693678,0.16751716233150946,0.21617903108599051,0.19884297605707704,0.29128399065822264,0.1353140701863177,0.2888284738637841,0.19221751828211986,0.26387070364188187,0.24038120374532979,0.20507912031845063,0.2201099633572766,0.29606858609232717,0.14400529428676312,0.288973871432,0.22899562762375109,0.18886288273326116,0.11769685018474593,0.18374914588629448,0.16160990288958008,0.12335501921571077,0.08480089974739852,0.13956445044513993,0.3070680382234219,0.1771836100727993,0.22729264457106638,0.22613939194507357,0.17641043524371502,0.2872339888214121,0.19222827281994867,0.12956043137916484,0.06798927607580976,0.16634964748289627,0.16273992404195112,0.15645727886788585,0.11091526183723296,0.14190918763487176,0.12715845539287435,0.17887491713157458,0.0886185592278363,0.06570124275183738,0.13902604490821652,0.32857163876548867,0.2389780752723312,0.19760808930342486,0.16925464281743421,0.28090213169689654,0.20712062012564614,0.040323691836761856,0.49195868595402237,0.2378442788120148
3,Other,0.24644980130079389,0.23126688651023164,0.23544684220823342,0.28177678277731283,0.13666885524416544,0.23371241267713094,0.2594188150473502,0.17639640274277568,0.06059184776796342,0.2175630952039836,0.301716240600094,0.173856520928295,0.17245292182920952,0.1633726862522783,0.16877546900774604,0.22555955341090786,0.10823871376682609,0.22489334128029917,0.149677724579085,0.23487178220549054,0.2327809503558333,0.2169689111668709,0.15840245656416468,0.26831977959276293,0.12228777797605592,0.2217635977917804,0.1941532020133988,0.1953419483533036,0.0777150941665247,0.1414079016450216,0.12153613985687195,0.08980616015814005,0.06527432843899854,0.10759619393296134,0.22074995197028674,0.1383273855707639,0.1929689459568375,0.20392374092722382,0.18571789288792329,0.24912105839935048,0.13615440920644079,0.08120277964786425,0.09759868677439346,0.12071922861436205,0.10858869397499456,0.15638107807381801,0.07927452247803189,0.0983051093082333,0.10706969430543709,0.13184637348530404,0.07345380370728369,0.05360893494734642,0.1074853108431402,0.26512379887637605,0.17800939893498463,0.15857097732522066,0.17480972792980784,0.2421701173000368,0.16859741174400777,0.06059184776796342,0.5450849591227318,0.2812618753878955
4,Other,0.32283570311548265,0.36689290254227924,0.27300894569917616,0.27736711703111766,0.13675021132621432,0.28683397910822206,0.3279180803724928,0.2817522036650192,0.04931622678446605,0.23574684575687954,0.2650720838388377,0.11005462274117957,0.16871369175658402,0.2047936482978147,0.2052717977897469,0.2772582450178025,0.13050045975331734,0.29291011124259225,0.16093579565414257,0.3317893287528491,0.2628085161360839,0.23902654845365728,0.2140462612436101,0.4240135127171645,0.12723533611070492,0.29399854135344633,0.2632925248007686,0.19259009292974086,0.07027618977536677,0.20441055789902624,0.17227057991202496,0.22738113427217393,0.1984381224644012,0.1823928571175204,0.3294733594474077,0.19062576375461296,0.2512175846009976,0.19371040958393665,0.1749805805619157,0.25638746708107313,0.1946851667489196,0.10868241764811269,0.05541012373110381,0.14921365837233622,0.1315695687052774,0.14313939797075542,0.08083591172824603,0.1328768003492855,0.11718458268949257,0.16024461467432935,0.07591851664943533,0.04057596614078968,0.1303434476673914,0.44370118189975066,0.30792632767347167,0.17040371985699967,0.1832745817895672,0.27341222719721153,0.12266862298032347,0.042210171637605855,0.5052519849766217,0.28052591749834244
5,Other,0.3032275540487388,0.28344908305417754,0.2697610584326704,0.23985190776332166,0.11063512283763727,0.3120989523094604,0.2971902016121356,0.22624689050399505,0.04676270887959063,0.25177465642450336,0.3108561273001104,0.12624154541065408,0.12977194910535964,0.23527319736363939,0.17622698814316456,0.273451530566863,0.14382084527999556,0.262043541903032,0.14157871170407332,0.28876359427721754,0.29856135509411375,0.2746027809812524,0.15970635346113904,0.2857888806816506,0.13124592820361208,0.2615115100046893,0.20607731242378763,0.2130815810685359,0.07277686468501522,0.21371893385568583,0.16382399281752785,0.1284901845222109,0.09582513678424559,0.14710485068392953,0.2544627439322885,0.1260131904218169,0.20174284718095217,0.22142596952989418,0.20216003682281392,0.28747594704033663,0.1365423419640331,0.09016786733554805,0.07401735743668322,0.15860544116305098,0.13660634785789955,0.14306787869404114,0.1079117560893986,0.1463267680926429,0.13621973962477746,0.17148146358519084,0.10059640051594364,0.08331251798236347,0.14305416734826729,0.3102794951280393,0.21643384665203144,0.16893701024783686,0.20183216442249904,0.28249064651120026,0.10426018734970549,0.04676270887959063,0.5644670692396879,0.26872860497211437
6,Other,0.29660027085497603,0.3053529364739235,0.2980241282480062,0.26499118773465186,0.18280020107423678,0.3013647541975243,0.30206350446571106,0.25107956839062867,0.12297993330731823,0.25023838486960703,0.2876335112067497,0.11914196136066768,0.1343580149382372,0.24492725084652134,0.17416593185012225,0.2707332121610736,0.1245189026062926,0.2902265038057106,0.1724631056354451,0.3005939266692529,0.25516566963686643,0.2431880040093649,0.23924681798965883,0.3544704582294192,0.11111931567958944,0.29134012312246865,0.2250117024011605,0.16918365441376593,0.08308386493301165,0.17701379464277217,0.15901920207118292,0.1031590767196285,0.06993403670900528,0.15667337868144654,0.25511659868300696,0.18264132378920866,0.22447927521770092,0.21566655323431913,0.15462746506762726,0.2678947202225579,0.19050727389827352,0.11518326144239407,0.07770811980823539,0.147148890697094,0.1346346872253364,0.14413503513524473,0.07259924211540418,0.12488586712677094,0.12237627465307502,0.15865171432437278,0.07846192868297953,0.04624213972163196,0.13217307166545056,0.32982873028753285,0.23867440568266413,0.17808805529857358,0.16788133177523437,0.2744826509111601,0.20391196059741643,0.12297993330731823,0.5125081989781,0.2687350256626512
7,Other,0.25105691374320355,0.29768758374440457,0.17472596757966907,0.1699326390150792,0.09824725280588927,0.19047614302693291,0.21946088723721005,0.1815194174636104,0.04956756472501797,0.1674109337855395,0.1912545511126545,0.09122646453989039,0.12752543260345348,0.1453099632470039,0.1925653154224336,0.23155646344375974,0.10140571395768955,0.2177045319430072,0.14658576398698525,0.16709648045455242,0.19696605311452314,0.16511931345668937,0.1350565390498795,0.2057717487157747,0.12153555417584835,0.22232697443414282,0.21654833007203092,0.15730086664959042,0.09854764960008396,0.2133538309385713,0.15657920377749657,0.16633365982725296,0.18903291582318602,0.2158272180361237,0.35202995628736933,0.12949828315701958,0.20665233184991888,0.25352302093460216,0.14938867094587516,0.16057835649993352,0.17087986064944846,0.10955604539171271,0.045805438375829226,0.12264331861926786,0.10106753430010161,0.12175289703022764,0.0819369304920497,0.09739481804382365,0.0951717146036295,0.14719400227598814,0.08115494813223512,0.05414477823252548,0.09694852649032924,0.26842584851883455,0.2042793495180637,0.16160872642056417,0.11256865550705919,0.1499844091439756,0.09064195497496651,0.04956756472501797,0.4691200410605785,0.17050880375293292
8,Other,0.18136810483042398,0.229939834452009,0.17076875746407844,0.17431833214818823,0.09621993539781956,0.17670967105425273,0.22012658458236958,0.1788226994715312,0.14912212714178003,0.1483398219792773,0.1714849770227005,0.17316869596489343,0.1978199817634822,0.15316941659821365,0.1804495118442724,0.20603637771987982,0.11188162430369658,0.1863477874691335,0.2985957164752543,0.2769701668838174,0.16132706758528875,0.15163379258708082,0.1495714275865748,0.3349899895840124,0.14496719025696558,0.19422585335781758,0.20800949710229363,0.17749269461045614,0.10950073361579452,0.12507275015264732,0.14069308622070031,0.10009721926409208,0.14221630636948543,0.1827405394154385,0.23776629959272771,0.2955780806754459,0.2045935329552638,0.33192725194443,0.16503577844925887,0.2088585918981406,0.17184608685806588,0.15812428981391635,0.0940252370482127,0.11410536399012422,0.09152892791053142,0.09314338264541733,0.06338668543908767,0.11393224342834689,0.09997245574989538,0.15546823727708117,0.08277880766867551,0.053899007920122824,0.13817866965957779,0.27460961240149584,0.19831724319536517,0.14764507953951198,0.14791622926982825,0.21133939062795426,0.11321335668143748,0.13258792500624228,0.4489162419041799,0.26901115868489345
9,Other,0.1295923427002832,0.3218494352929958,0.13725773235539465,0.1247554024699723,0.12633855183650444,0.1363552055354796,0.21259709289259632,0.103659103329379,0.21207319328399427,0.1625853708924126,0.365049473124766,0.3499217172199807,0.32665623959717527,0.1455657029792303,0.13097596993027114,0.16741475343187046,0.2683383603060091,0.1576639177228791,0.21764056268355592,0.3728447874819729,0.18814117931313348,0.30009782585941774,0.2637700235970802,0.20664176050135574,0.2793204308664289,0.1579519142248248,0.20312539020692538,0.3111560105848074,0.16736727744596716,0.07766602086759498,0.08582066709232537,0.20187904121751737,0.19017565797426597,0.21398750323631988,0.11918389187849679,0.18885534130518017,0.1917237104517741,0.38205462899588344,0.3176952095004061,0.3130308954706364,0.18464899094854823,0.2663662297366401,0.22234960818663302,0.1608542772640681,0.22323766287440364,0.22397109777612567,0.21344943340373276,0.21824876281211708,0.20419410411735162,0.17571071569054103,0.2337981934783646,0.18082912797808884,0.20835361670741576,0.1492376335379543,0.10837357426119498,0.17371074357516564,0.31083661386028527,0.2784394191469406,0.15974131847248207,0.20579010222541716,0.6827382498447916,0.43048436542909757
10,Other,0.11299780961581385,0.3186167909273718,0.15067867255103023,0.10145006221229665,0.14887252732438327,0.1545039317846056,0.2240735047858955,0.14186193315098983,0.21350016188535162,0.1680504378601591,0.4230306546568984,0.39309936711123133,0.3483192066807484,0.1379250336314991,0.11606504569076892,0.22545165914984888,0.2795971878192373,0.14088205021760533,0.08634058861504403,0.5034414080350129,0.1878668411329207,0.29856488293502537,0.2610297489532094,0.27324754959023456,0.3734743185407713,0.13811458003143506,0.22354821113779574,0.42623802040591285,0.13727253214841953,0.06522954125707026,0.07265601339698932,0.1936159662522146,0.18796873225253238,0.19080618655341436,0.10979832198820406,0.09688100999868574,0.2115874263942774,0.32596918451005685,0.4349533023526807,0.39043216394308544,0.2266416041733893,0.275216552919301,0.25049314004868667,0.15642886879721535,0.221108621132989,0.2203188501683987,0.20021436890342398,0.1918557698045073,0.20155790602088516,0.22113412384106737,0.23685683168910537,0.19114471704314387,0.3212305946516488,0.16385920908433477,0.12225658814908416,0.23101194092077626,0.41668126541891964,0.3572529782840972,0.13513185752630835,0.20182694061472295,0.6367279340905138,0.4705217489331135
